,nearest_miles,Intensity_5 miles,Intensity_10 miles,Intensity_20 miles,Intensity_30 miles,intensity_50 miles,Intensity_100 miles,Intensity_200 miles,,
6082,8,0,1,2,2,5,25,56,,
6083,7,0,1,2,2,4,25,56,,
6084,17,0,0,2,2,8,25,55,,
6088,10,0,0,2,2,6,26,56,,
6089,9,0,1,1,3,6,31,58,,
6095,6,0,1,2,3,5,29,58,,
6096,11,0,0,2,2,6,26,56,,
6101,1,1,1,1,3,6,29,58,,
6102,0,1,1,1,3,7,29,58,,
6103,0,1,1,1,3,7,29,58,,
6104,1,1,1,1,3,6,29,58,,
6105,1,1,1,1,3,7,30,58,,
6106,1,1,1,1,3,7,31,58,,
6107,4,1,1,1,3,7,31,58,,
6108,2,1,1,1,3,5,29,57,,
6109,4,1,1,1,3,7,31,57,,
6110,3,1,1,2,3,7,31,58,,
6111,6,0,1,2,4,7,31,59,,
6115,0,1,1,1,3,7,29,58,,
6129,4,1,1,1,3,7,31,57,,
6144,1,1,1,1,3,6,29,58,,
6154,1,1,1,1,3,7,30,58,,
6155,3,1,1,1,3,7,31,58,,
6156,2,1,1,1,3,7,31,58,,
6180,4,1,1,2,3,7,31,58,,
6183,0,1,1,1,3,7,30,58,,
6226,24,0,0,0,2,8,24,55,,
6238,17,0,0,1,2,8,25,55,,
6241,23,0,0,0,3,7,19,48,,
6260,24,0,0,0,3,8,20,48,,
6263,25,0,0,0,3,7,21,48,,
6268,21,0,0,0,2,8,24,54,,
6320,0,1,1,1,1,5,24,53,,
6355,6,0,1,1,1,5,20,51,,
6359,14,0,0,1,2,4,20,49,,
6360,12,0,0,1,1,6,23,53,,
6382,7,0,1,1,1,6,24,55,,
6385,2,1,1,1,1,5,24,53,,
6401,8,0,1,3,5,11,31,59,,
6404,12,0,0,5,3,13,31,59,,
6405,6,0,1,1,3,9,29,55,,
6410,7,0,1,2,5,8,31,58,,
6413,20,0,0,0,2,9,28,56,,
6418,9,0,1,4,5,11,30,58,,
6443,16,0,0,1,3,9,29,56,,
6450,12,0,0,3,3,8,31,57,,
6451,11,0,0,3,3,8,32,58,,
6455,16,0,0,3,3,8,31,57,,
6457,14,0,0,2,3,8,31,57,,
6460,8,0,2,3,7,12,30,57,,
6468,10,0,0,5,5,13,31,59,,
